,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Rio Gallegos,AR,-51.6226,-69.2181,35.65,87,0,3.44,clear sky
349,Buta,CD,2.7858,24.73,69.64,99,100,3.0,light rain
350,Lakes Entrance,AU,-37.8811,147.981,63.16,63,76,7.36,broken clouds
351,Harper,LR,4.375,-7.7169,75.06,82,100,10.67,overcast clouds
352,Bonthe,SL,7.5264,-12.505,75.4,89,91,8.12,moderate rain
353,Qaqortoq,GL,60.7167,-46.0333,44.55,87,23,3.31,few clouds
354,Ballina,AU,-28.8667,153.5667,69.01,72,100,11.48,overcast clouds
355,Celica,EC,-4.1167,-79.95,53.94,84,22,1.03,few clouds
356,Santa Lucia,ES,27.9117,-15.5407,63.72,73,20,14.97,few clouds
357,Itoman,JP,26.1247,127.6694,90.37,74,40,5.75,scattered clouds
358,Mopipi,BW,-21.1833,24.8833,54.93,51,0,6.67,clear sky
359,Nargana,PA,9.4428,-78.5906,78.51,87,100,8.55,overcast clouds
360,Mnogovershinnyy,RU,53.9353,139.9242,57.69,88,100,2.04,overcast clouds
361,Grindavik,IS,63.8424,-22.4338,50.47,100,100,12.66,light intensity drizzle
362,Deniliquin,AU,-35.5333,144.9667,61.88,47,86,13.8,overcast clouds
363,Pitimbu,BR,-7.4706,-34.8086,72.19,83,7,3.8,clear sky
364,Sambava,MG,-14.2667,50.1667,68.94,84,99,12.15,light rain
365,Yulara,AU,-25.2406,130.9889,62.22,26,0,13.15,clear sky
366,Geraldton,AU,-28.7667,114.6,64.81,48,0,23.02,clear sky
367,Fonte Boa,BR,-2.4959,-66.2662,72.66,94,71,2.42,broken clouds
368,Winnemucca,US,40.973,-117.7357,82.45,34,0,4.61,clear sky
369,Mahibadhoo,MV,3.7833,72.9667,81.37,78,90,2.95,overcast clouds
370,Iwanai,JP,42.9744,140.5089,80.53,71,19,7.67,few clouds
371,Yamada,JP,39.4667,141.95,83.93,64,100,9.4,light rain
372,Roxana,CR,10.2753,-83.7513,77.04,98,100,2.46,overcast clouds
373,Osmena,PH,10.5208,119.9258,84.09,70,33,2.55,light rain
374,Akyab,MM,20.15,92.9,81.86,82,94,8.1,overcast clouds
375,Vilyuysk,RU,63.7553,121.6247,62.74,60,100,5.39,overcast clouds
376,Kendari,ID,-3.945,122.4989,84.42,70,70,7.07,broken clouds
377,Hay River,CA,60.8156,-115.7999,60.78,63,40,5.75,scattered clouds
378,Vangaindrano,MG,-23.35,47.6,65.71,85,97,3.69,light rain
379,Gigmoto,PH,13.7796,124.39,85.51,74,83,4.03,broken clouds
380,Zvishavane,ZW,-20.3267,30.0665,53.98,69,0,2.08,clear sky
381,Semnan,IR,35.5729,53.3971,78.01,24,0,2.13,clear sky
382,Fukue,JP,32.6881,128.8419,86.36,79,75,9.22,moderate rain
383,Pangai,TO,-19.8,-174.35,80.71,65,40,8.05,scattered clouds
384,Nizhnekamsk,RU,55.6366,51.8245,59.79,82,0,6.71,clear sky
385,Sabang,ID,5.8933,95.3214,82.58,72,88,14.32,overcast clouds
386,Raudeberg,NO,61.9875,5.1352,54.27,93,100,8.01,overcast clouds
387,Saint-Leu,RE,-21.15,55.2833,67.32,65,9,2.39,clear sky
388,Togur,RU,58.3631,82.8265,63.68,48,32,6.91,scattered clouds
389,Lisala,CD,2.15,21.5167,69.96,98,100,1.7,light rain
390,Tomari,RU,47.7658,142.0683,70.5,85,78,8.46,broken clouds
391,Angoche,MZ,-16.2325,39.9086,66.78,87,0,3.49,clear sky
392,Road Town,VG,18.4167,-64.6167,81.45,75,95,18.57,overcast clouds
393,Ketchikan,US,55.3422,-131.6461,63.07,77,0,10.36,clear sky
394,Hualmay,PE,-11.0964,-77.6139,61.45,83,39,10.09,scattered clouds
395,Wajima,JP,37.4,136.9,84.88,78,75,10.36,broken clouds
396,Aberdour,GB,56.05,-3.3,57.78,85,2,3.18,clear sky
397,Kokopo,PG,-4.352,152.2633,82.72,70,68,6.51,light rain
398,Skibbereen,IE,51.55,-9.2667,58.1,74,11,7.0,few clouds
399,Kandalaksha,RU,67.162,32.4123,48.09,75,98,7.25,overcast clouds
400,Bengkulu,ID,-3.8004,102.2655,83.07,74,73,4.41,broken clouds
401,Shelburne,CA,44.0787,-80.2041,56.59,84,0,7.38,clear sky
402,Pitsunda,GE,43.1592,40.3378,77.18,81,28,6.87,scattered clouds
403,Kaohsiung,TW,22.6163,120.3133,89.69,67,75,8.05,broken clouds
404,Coquimbo,CL,-29.9533,-71.3436,53.33,76,100,2.3,overcast clouds
405,Odweyne,SO,9.4092,45.064,68.79,69,98,21.3,overcast clouds
406,Bogdanovich,RU,56.7803,62.0494,61.2,66,43,13.76,scattered clouds
407,Veraval,IN,20.9,70.3667,80.98,90,98,26.62,overcast clouds
408,Gornopravdinsk,RU,60.05,69.9,57.47,96,100,4.83,light rain
409,Rio Grande,BR,-32.035,-52.0986,50.95,91,0,9.53,clear sky
410,Plettenberg Bay,ZA,-34.0527,23.3716,55.0,89,94,6.67,overcast clouds
411,Moose Factory,CA,51.2585,-80.6094,50.0,76,0,2.3,clear sky
412,Havelock,US,34.8791,-76.9013,84.18,82,40,9.22,scattered clouds
413,Harqalah,TN,36.0303,10.509,80.46,73,40,6.91,scattered clouds
414,Broome,US,42.2506,-75.833,63.37,91,0,2.35,clear sky
415,Suhbaatar,MN,50.2314,106.2078,67.01,61,84,2.57,broken clouds
416,Andenes,NO,69.3143,16.1194,49.98,81,75,24.16,broken clouds
417,Vila Velha,BR,-20.3297,-40.2925,69.94,71,0,8.05,clear sky
418,Katsuura,JP,35.1333,140.3,84.56,77,10,20.49,clear sky
419,Fjerritslev,DK,57.0813,9.2664,53.46,80,7,5.61,clear sky
420,Bavly,RU,54.393,53.2602,63.14,62,51,2.55,broken clouds
421,Padang,ID,-0.9492,100.3543,84.25,72,36,5.17,scattered clouds
422,Qeshm,IR,26.9581,56.2719,89.49,61,57,2.73,broken clouds
423,Dekar,BW,-21.5333,21.9333,57.13,26,0,8.19,clear sky
424,Upata,VE,8.0086,-62.3989,70.21,95,68,2.37,broken clouds
425,Nantucket,US,41.2835,-70.0995,69.03,75,0,4.61,clear sky
426,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,90,92,7.38,overcast clouds
427,Eureka,US,40.8021,-124.1637,65.17,80,5,1.01,clear sky
428,Gamba,GA,-2.65,10.0,68.63,92,74,2.59,broken clouds
429,Lucapa,AO,-8.4192,20.7447,59.59,29,94,4.68,overcast clouds
430,Smoky Lake,CA,54.1169,-112.4686,72.18,73,10,5.75,light rain
431,Chickasha,US,35.0526,-97.9364,85.35,45,0,9.22,clear sky
432,Lagoa,PT,39.05,-27.9833,73.4,82,98,13.04,light rain
433,Nerchinskiy Zavod,RU,51.3088,119.61,62.26,80,96,1.43,moderate rain
434,Molteno,ZA,-31.3968,26.3625,48.54,37,76,14.38,broken clouds
435,San Patricio,US,28.017,-97.5169,85.89,78,100,3.78,light rain
436,Vredendal,ZA,-31.6683,18.5012,53.51,91,94,5.86,overcast clouds
437,Laguna,US,38.421,-121.4238,84.18,47,0,10.36,clear sky
438,Puerto El Triunfo,SV,13.2833,-88.55,74.97,90,100,2.01,overcast clouds
439,Regeneracao,BR,-6.2378,-42.6883,71.83,53,3,2.55,clear sky
440,Punto Fijo,VE,11.6956,-70.1996,81.55,81,99,22.77,overcast clouds
441,Nikolskoye,RU,59.7035,30.7861,64.29,85,79,6.06,broken clouds
442,Talnakh,RU,69.4865,88.3972,56.21,78,100,6.49,overcast clouds
443,Urdoma,RU,61.7533,48.5442,61.97,68,96,10.16,overcast clouds
444,Laksham,BD,23.2472,91.1425,87.12,70,92,7.61,overcast clouds
445,Iganga,UG,0.6092,33.4686,65.14,88,100,4.36,overcast clouds
446,Srednekolymsk,RU,67.45,153.6833,61.95,73,100,10.0,light rain
447,Atasu,KZ,48.6814,71.6433,70.59,55,0,9.6,clear sky
448,Saint Anthony,US,45.0205,-93.218,73.81,62,0,5.75,clear sky
449,Yarada,IN,17.65,83.2667,86.32,74,75,12.66,mist
450,Kaeo,NZ,-35.1,173.7833,57.33,50,11,8.84,few clouds
451,Loviisa,FI,60.4566,26.2251,59.29,85,10,4.45,clear sky
452,Lebanon,US,36.2081,-86.2911,76.78,90,0,3.44,clear sky
453,Kholmogory,RU,64.2229,41.656,57.78,93,86,8.39,overcast clouds
454,Nogliki,RU,51.8333,143.1667,58.73,96,100,3.15,moderate rain
455,Morondava,MG,-20.2833,44.2833,66.15,85,0,8.79,clear sky
456,Svetlogorsk,BY,52.6333,29.7333,61.84,82,6,8.99,clear sky
457,Saravena,CO,6.9538,-71.8752,70.74,97,72,2.68,broken clouds
458,Sibi,PK,29.5448,67.8764,94.5,45,70,7.05,broken clouds
459,Shakawe,BW,-18.3667,21.85,53.08,28,0,1.88,clear sky
460,Dukat,RU,62.55,155.55,58.33,69,100,2.59,light rain
461,Guerrero Negro,MX,27.9769,-114.0611,72.37,81,6,13.73,clear sky
462,Westport,US,41.1415,-73.3579,77.94,81,100,5.75,overcast clouds
463,Pangody,RU,65.85,74.4859,56.52,62,100,15.61,overcast clouds
464,Mar Del Plata,AR,-38.0023,-57.5575,50.09,83,0,13.0,clear sky
465,Santiago Del Estero,AR,-27.7951,-64.2615,57.94,43,100,8.39,overcast clouds
466,Dali,CN,25.7,100.1833,76.14,60,93,4.7,overcast clouds
467,Ambilobe,MG,-13.2,49.05,67.78,58,2,4.76,clear sky
468,Fortuna,US,40.5982,-124.1573,64.9,81,100,8.05,overcast clouds
469,Nemencine,LT,54.85,25.4833,59.52,83,0,4.03,clear sky
470,Porto Novo,BJ,6.4965,2.6036,73.9,90,100,7.9,overcast clouds
471,Luanda,AO,-8.8368,13.2343,68.7,81,100,3.89,overcast clouds
472,Portoferraio,IT,42.8115,10.3146,78.58,41,100,5.06,overcast clouds
473,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,53.01,93,0,5.7,clear sky
474,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,59.34,95,19,4.36,few clouds
475,Port Augusta,AU,-32.5,137.7667,63.46,43,25,15.93,scattered clouds
476,Lasa,IT,46.6166,10.7002,61.68,93,35,3.56,scattered clouds
477,Poum,NC,-20.2333,164.0167,71.83,57,25,9.1,scattered clouds
478,Mollendo,PE,-17.0231,-72.0147,59.34,85,33,6.89,scattered clouds
479,Svetlaya,RU,46.5389,138.3297,69.42,75,60,4.88,broken clouds
480,Sakakah,SA,29.9697,40.2064,89.17,28,0,6.42,clear sky
481,Hami,CN,42.8,93.45,95.83,19,99,7.56,overcast clouds
482,Coihaique,CL,-45.5752,-72.0662,39.81,81,40,4.61,scattered clouds
483,Pillaro,EC,-1.1667,-78.5333,48.15,59,100,1.05,overcast clouds
484,Mykolayivka,UA,47.5414,30.7561,72.21,67,100,12.41,overcast clouds
485,Mae Sai,TH,20.4335,99.8762,73.08,100,100,1.77,overcast clouds
486,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,53.31,74,83,6.17,broken clouds
487,Umtata,ZA,-31.5889,28.7844,52.36,87,0,2.3,clear sky
488,Barabai,ID,-2.5833,115.3833,92.66,46,86,1.92,overcast clouds
489,Solginskiy,RU,61.05,41.3428,61.74,72,92,9.8,overcast clouds
490,Almaznyy,RU,48.0448,40.045,79.18,34,100,14.52,overcast clouds
491,Biak,ID,-0.9131,122.8766,83.91,68,74,1.88,broken clouds
492,Cartama,ES,36.7107,-4.633,80.17,75,20,5.75,few clouds
493,Puerto Madryn,AR,-42.7692,-65.0385,50.29,64,80,10.8,broken clouds
494,Loiza,PR,18.4313,-65.8802,82.4,80,40,10.36,scattered clouds
495,Adrar,MR,20.5022,-10.0711,91.02,36,0,8.21,clear sky
496,Taguatinga,BR,-12.3857,-46.5711,74.98,39,13,5.39,few clouds
497,Murnau,DE,48.2302,12.2943,56.77,83,0,5.23,clear sky
498,Sarandi,BR,-23.4436,-51.8739,53.49,67,1,10.63,clear sky
499,Lope De Vega,PH,12.2983,124.6238,88.25,65,95,2.24,overcast clouds
500,Tateyama,JP,34.9833,139.8667,86.09,80,37,18.72,scattered clouds
501,Te Anau,NZ,-45.4167,167.7167,45.57,73,46,1.5,scattered clouds
502,Singaraja,ID,-8.112,115.0882,84.22,71,28,3.33,scattered clouds
503,Segou,ML,13.4317,-6.2157,77.27,82,63,8.23,broken clouds
504,Aksay,RU,47.26,39.87,81.25,31,100,7.0,light rain
505,Vieques,PR,18.425,-65.8329,82.44,74,40,10.36,scattered clouds
506,Degollado,MX,20.467,-102.1498,65.68,72,100,0.54,overcast clouds
507,Galveston,US,29.3669,-94.9669,85.96,79,20,10.36,few clouds
508,Namatanai,PG,-3.6667,152.4333,84.56,64,69,10.89,broken clouds
509,Angola,AO,-12.5,18.5,46.44,43,11,3.44,few clouds
510,Kilindoni,TZ,-7.9139,39.6668,74.98,73,8,10.38,clear sky
511,Swan River,CA,52.1058,-101.2676,62.49,77,90,2.3,overcast clouds
512,Lahaina,US,20.8783,-156.6825,87.8,81,67,12.73,broken clouds
513,Marsaxlokk,MT,35.8419,14.5431,78.08,88,20,1.14,few clouds
514,Erzincan,TR,39.75,39.5,61.9,77,0,3.44,clear sky
515,Kavaratti,IN,10.5669,72.642,81.07,84,100,17.9,overcast clouds
516,Nemuro,JP,43.3236,145.575,68.83,95,98,19.6,overcast clouds
517,Anori,BR,-3.7728,-61.6442,76.84,56,96,2.53,overcast clouds
518,Naples,IT,40.8333,14.25,76.75,72,20,2.3,few clouds
519,Mokhsogollokh,RU,61.4681,128.9203,60.55,94,100,1.74,light rain
520,Colares,PT,38.7992,-9.4469,67.75,78,0,10.0,clear sky
521,Aykhal,RU,66.0,111.5,41.7,96,100,21.34,light rain
522,Coffs Harbour,AU,-30.3,153.1333,67.14,63,100,9.22,overcast clouds
523,Nicoya,CR,10.1483,-85.452,74.55,93,100,2.44,overcast clouds
524,Kargasok,RU,59.0556,80.8572,63.79,49,8,5.86,clear sky
525,Tomatlan,MX,19.9333,-105.25,76.98,94,100,2.84,overcast clouds
526,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,100,11.5,overcast clouds
527,Nuevo Progreso,MX,23.1667,-97.95,81.54,64,5,4.21,clear sky
528,Nishihara,JP,26.1842,127.7558,89.65,74,40,5.75,scattered clouds
529,Kiama,AU,-34.6833,150.8667,63.57,69,100,5.01,overcast clouds
530,Magaria,NE,12.9983,8.9099,74.71,72,79,8.72,broken clouds
531,Bulungu,CD,-4.55,18.6,70.07,28,12,2.57,few clouds
532,Kota Belud,MY,6.351,116.4305,89.17,58,74,6.02,broken clouds
533,Kirkcudbright,GB,54.8383,-4.0491,60.01,67,7,8.34,clear sky
534,Seymchan,RU,62.8833,152.4333,65.08,68,100,5.26,overcast clouds
535,Clyde,US,41.3042,-82.9752,68.56,75,2,9.57,clear sky
536,Paita,PE,-5.0892,-81.1144,62.91,85,87,10.09,overcast clouds
537,Bama,NG,11.5221,13.6856,71.47,89,100,10.6,light rain
538,Jumla,NP,29.2747,82.1838,76.3,55,5,3.42,clear sky
539,Tagusao,PH,9.1924,117.8141,87.13,64,65,1.92,broken clouds
540,Heilbron,ZA,-27.2812,27.9709,49.32,38,42,3.87,scattered clouds
541,Santa Barbara,US,34.7333,-120.0343,69.82,77,0,5.75,clear sky
542,Goderich,CA,43.7501,-81.7165,67.91,82,0,8.05,clear sky
543,La Antigua,CO,6.7153,-76.079,57.94,97,94,1.57,overcast clouds
544,Banjar,ID,-8.19,114.9675,86.16,67,29,3.69,scattered clouds
545,Singarayakonda,IN,15.25,80.0333,88.9,51,79,21.88,broken clouds
546,Bahia Blanca,AR,-38.7196,-62.2724,50.72,65,49,9.95,scattered clouds
547,Kingman,US,35.1894,-114.053,87.28,60,40,6.91,moderate rain
548,Dewas,IN,22.9667,76.0667,77.18,88,96,16.71,overcast clouds
549,Dingle,PH,10.9995,122.6711,85.93,72,86,4.9,overcast clouds
550,Tungor,RU,53.3808,142.9564,60.82,89,100,4.38,moderate rain
551,Motygino,RU,58.1831,94.7592,66.72,48,0,5.79,clear sky
552,Mustasaari,FI,63.1142,21.6822,61.9,88,100,2.3,light rain
553,Maceio,BR,-9.6658,-35.7353,72.84,94,0,3.44,clear sky
554,Canete,CL,-37.8,-73.4,48.81,94,100,5.41,overcast clouds
555,Kirovskiy,RU,45.0917,133.5136,74.3,61,21,10.2,few clouds
556,Belaya Gora,RU,68.5333,146.4167,61.95,49,95,14.41,overcast clouds
557,Dabrowa Tarnowska,PL,50.1746,20.9863,55.44,94,5,3.53,clear sky
558,Edd,ER,13.9297,41.6925,81.63,82,100,17.9,moderate rain
559,Kemi,FI,65.8596,24.8228,55.17,67,0,12.66,clear sky
560,Rosarito,MX,32.3333,-117.0333,77.23,67,90,7.38,overcast clouds
561,Nizwa,OM,22.9333,57.5333,93.87,33,100,1.7,overcast clouds
562,Inuvik,CA,68.3499,-133.7218,67.06,44,75,4.61,broken clouds
563,Zhigansk,RU,66.7697,123.3711,57.2,56,100,22.93,overcast clouds
564,Pierre,US,44.3683,-100.351,84.85,66,0,20.0,clear sky
565,Codrington,AU,-38.2667,141.9667,52.07,77,99,7.65,overcast clouds
566,Ceyhan,TR,37.0247,35.8175,79.14,77,74,1.1,broken clouds
567,Karratha,AU,-20.7377,116.8463,75.11,27,25,23.53,scattered clouds
568,Umm Kaddadah,SD,13.6017,26.6876,74.44,79,100,7.61,overcast clouds
569,Shchigry,RU,51.8755,36.9043,66.02,78,13,13.27,few clouds
570,Sinnamary,GF,5.3833,-52.95,78.12,82,31,7.02,scattered clouds
571,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,100,9.22,overcast clouds
572,Vanavara,RU,60.34,102.2797,61.57,55,80,8.23,broken clouds
573,Yaan,NG,7.3833,8.5667,70.97,98,100,5.23,overcast clouds
574,Hovd,MN,48.0056,91.6419,76.3,28,42,6.62,scattered clouds
575,Pundaguitan,PH,6.3711,126.1689,83.75,69,6,6.2,clear sky
576,Siniscola,IT,40.5719,9.6922,72.95,62,2,5.79,clear sky
577,Aktash,RU,50.3,87.7333,57.4,56,35,2.82,scattered clouds
578,Zhangye,CN,38.9342,100.4517,91.56,35,13,7.14,few clouds
579,Khandyga,RU,62.6667,135.6,71.29,55,86,2.13,overcast clouds
580,Sheridan,US,44.8333,-106.9173,77.7,51,0,3.44,clear sky
581,Filimonovo,RU,56.2011,95.4611,71.65,58,10,5.88,clear sky
582,Wuda,CN,39.4994,106.7117,83.32,62,59,5.68,broken clouds
583,Kenai,US,60.5544,-151.2583,62.69,95,100,10.36,light rain
584,Puksoozero,RU,62.5903,40.6066,61.93,77,86,8.95,overcast clouds
585,Stabat,ID,3.761,98.4513,86.2,53,93,1.81,overcast clouds
586,Tyazhinskiy,RU,56.116,88.524,68.34,45,3,7.16,clear sky
587,Slave Lake,CA,55.2834,-114.769,67.98,83,0,10.36,clear sky
588,Jiangkou,CN,25.4872,119.1986,90.64,60,4,10.8,clear sky
589,Requena,ES,39.4883,-1.1004,66.79,58,0,4.23,clear sky
590,San Lorenzo,PY,-25.3333,-57.5333,59.94,72,0,4.61,clear sky
591,Savinka,RU,50.0785,47.0994,77.81,49,36,12.35,scattered clouds
592,Abu Dhabi,AE,24.4667,54.3667,93.31,78,85,3.44,haze
593,Ruteng,ID,-8.6136,120.4721,71.37,78,41,1.68,scattered clouds
594,Koumac,NC,-20.5667,164.2833,73.56,53,2,8.63,clear sky
595,Yangliuqing,CN,39.1375,116.9997,85.95,55,57,4.18,broken clouds
596,Marsa Matruh,EG,31.3525,27.2453,75.4,78,0,5.75,clear sky
597,Alpena,US,45.0617,-83.4327,63.1,73,0,4.61,clear sky
598,Kisangani,CD,0.5167,25.2,69.42,98,91,2.48,overcast clouds
599,Baruun-Urt,MN,46.6806,113.2792,73.15,46,65,6.71,broken clouds
600,Vanino,RU,49.0869,140.2543,70.14,64,75,4.14,broken clouds
601,Suwannaphum,TH,15.6035,103.8021,80.08,77,100,10.31,overcast clouds
602,Buchanan,LR,5.8808,-10.0467,75.07,86,92,10.33,light rain
603,Lethem,GY,3.3803,-59.7968,74.26,89,49,1.86,light rain
604,Riyadh,SA,24.6877,46.7219,89.74,24,58,20.83,broken clouds
605,Trat,TH,12.5,102.5,86.2,75,100,9.86,light rain
606,Samur,RU,41.8253,48.486,81.88,48,0,4.79,clear sky
607,Australind,AU,-33.2667,115.7167,62.29,58,0,14.2,clear sky
608,Salisbury,GB,51.0693,-1.7957,66.97,65,0,4.61,clear sky
609,Cheney,US,47.4874,-117.5758,82.72,43,20,10.36,few clouds
610,Okhotsk,RU,59.3833,143.3,60.87,86,99,6.71,light rain
611,Ahipara,NZ,-35.1667,173.1667,54.54,61,14,11.88,few clouds
612,Indiana,US,40.0003,-86.2503,69.51,81,0,5.75,clear sky
613,Lata,PT,40.1629,-8.3327,58.33,94,0,1.36,clear sky
614,Tautira,PF,-17.7333,-149.15,77.99,73,33,13.87,light rain
615,Berlevag,NO,70.8578,29.0864,51.8,76,40,41.43,scattered clouds
616,Nova Russas,BR,-4.7067,-40.5631,71.47,69,35,3.89,scattered clouds
617,Itarema,BR,-2.9248,-39.9167,76.69,86,62,13.42,broken clouds
618,Bambous Virieux,MU,-20.3428,57.7575,67.21,88,40,18.41,scattered clouds
619,Khani,GE,41.9563,42.9566,63.97,70,20,1.14,few clouds
620,Rock Sound,BS,24.9,-76.2,81.97,74,0,15.93,clear sky
621,Ballater,GB,57.0493,-3.0402,54.3,94,0,0.69,clear sky
622,Aberystwyth,GB,52.4155,-4.0829,63.52,69,1,6.89,clear sky
623,Myitkyina,MM,25.3833,97.4,92.03,56,87,2.44,overcast clouds
624,Houma,US,29.5958,-90.7195,77.0,93,100,0.0,overcast clouds
625,Waddan,LY,29.1614,16.139,77.58,35,0,8.75,clear sky
626,Juruti,BR,-2.1522,-56.0922,78.35,54,25,2.37,scattered clouds
627,San Policarpo,PH,12.1791,125.5072,84.36,73,99,5.93,overcast clouds
628,Sumbe,AO,-11.2061,13.8437,69.01,83,97,3.04,overcast clouds
629,Karasburg,NA,-28.0167,18.75,48.58,53,2,9.6,clear sky
630,Kurchum,KZ,48.5722,83.6542,76.21,36,98,3.33,overcast clouds
631,Don Sak,TH,9.3168,99.6918,87.69,64,95,12.37,overcast clouds
632,Pitanga,BR,-24.7572,-51.7614,43.83,89,2,3.78,clear sky
633,Moussoro,TD,13.6408,16.4901,81.54,67,100,8.19,overcast clouds
634,Weyburn,CA,49.6668,-103.8511,64.62,77,98,8.05,overcast clouds
635,Huarmey,PE,-10.0681,-78.1522,62.04,86,23,9.24,few clouds
636,Tsiroanomandidy,MG,-18.7667,46.0333,55.36,69,0,2.59,clear sky
637,Tambura,SS,5.6,27.4667,66.6,99,100,3.11,overcast clouds
638,Kuna,US,43.4918,-116.4201,84.4,57,42,0.0,haze
639,Kraksaan,ID,-7.7585,113.3962,86.23,66,37,6.89,scattered clouds
640,Ellisras,ZA,-23.6649,27.7443,53.51,60,0,3.27,clear sky
641,Nabire,ID,-3.3667,135.4833,87.39,60,9,5.19,clear sky
642,Udachnyy,RU,66.4167,112.4,46.45,100,100,17.96,light rain
643,Guadalupe Victoria,MX,32.2869,-115.105,99.95,31,7,11.79,clear sky
644,Ligayan,PH,4.6533,119.4706,83.95,69,21,3.31,few clouds
645,Bauchi,NG,10.5,10.0,69.17,90,100,3.96,overcast clouds
646,Caceres,ES,39.522,-6.3748,68.72,52,0,1.14,clear sky
647,Garowe,SO,8.4054,48.4845,74.35,61,97,23.53,overcast clouds
648,Sampit,ID,-2.5333,112.95,92.55,50,60,2.86,broken clouds
649,Tocopilla,CL,-22.092,-70.1979,58.42,71,1,3.15,clear sky
650,Carauari,BR,-4.8828,-66.8958,74.82,74,62,2.19,broken clouds
651,Kijang,KR,35.2442,129.2139,92.93,60,0,10.33,clear sky
652,Rundu,NA,-17.9333,19.7667,52.36,24,0,1.88,clear sky
653,Cockburn Town,TC,21.4612,-71.1419,82.26,75,47,18.95,scattered clouds
654,Qarqin,AF,37.4185,66.0436,84.31,21,0,7.23,clear sky
655,Waitati,NZ,-45.75,170.5667,50.81,54,63,5.23,broken clouds
656,Carutapera,BR,-1.195,-46.02,76.32,84,33,6.91,scattered clouds
657,Tarut,SA,26.5733,50.0369,97.0,55,26,20.92,scattered clouds
658,Brownwood,US,31.7093,-98.9912,88.92,48,5,13.62,clear sky
659,Oranjestad,AW,12.524,-70.027,82.35,83,20,19.57,few clouds
660,Gerash,IR,27.6652,54.1371,82.54,13,4,7.7,clear sky
661,Quezailica,HN,14.8833,-88.7333,69.75,99,100,1.61,overcast clouds
662,Beira,MZ,-19.8436,34.8389,62.69,100,100,6.91,fog
663,Kaliua,TZ,-5.0606,31.7936,63.07,63,54,6.71,broken clouds
664,North Bend,US,43.4065,-124.2243,58.15,100,100,3.44,mist
665,Eseka,CM,3.65,10.7667,71.37,99,100,1.28,light rain
666,Pesaro,IT,43.9036,12.8903,73.13,64,100,7.61,overcast clouds
667,Am Timan,TD,11.0297,20.2827,71.02,98,100,4.27,moderate rain
668,Puri,IN,19.8,85.85,81.12,82,100,2.73,moderate rain
669,Clacton-On-Sea,GB,51.7897,1.156,66.78,86,20,4.0,few clouds
670,Lanxi,CN,29.2195,119.477,98.62,47,52,3.87,broken clouds
671,Komsomolskiy,UZ,40.4272,71.7189,83.12,24,0,6.91,clear sky
672,Monte Alegre,BR,-2.0078,-54.0692,75.78,77,38,5.06,scattered clouds
673,Mogadishu,SO,2.0371,45.3438,76.87,78,40,13.8,scattered clouds
674,Mucurapo,TT,10.6667,-61.5333,78.85,89,1,7.38,clear sky
675,Carballo,ES,43.213,-8.691,64.9,91,43,1.74,scattered clouds
676,Parsabad,IR,39.6482,47.9174,71.92,88,0,4.61,clear sky
677,Tobol,KZ,52.6844,62.5794,66.67,65,98,13.4,overcast clouds
678,Carmen,MX,18.6333,-91.8333,79.18,80,100,7.36,overcast clouds
679,Rock Springs,US,41.5875,-109.2029,72.05,47,0,8.05,clear sky
680,Myaundzha,RU,63.0494,147.1858,63.19,62,100,4.85,light rain
681,Bagn,NO,60.8225,9.5521,57.07,77,14,3.78,few clouds
682,Koboko,UG,3.4136,30.9599,62.33,88,99,2.37,overcast clouds
683,Cananeia,BR,-25.0147,-47.9267,60.21,88,45,2.8,scattered clouds
684,Chibuto,MZ,-24.6867,33.5306,60.87,80,0,7.4,clear sky
685,Carahue,CL,-38.7,-73.1667,46.08,94,100,3.06,overcast clouds
686,Acajutla,SV,13.5928,-89.8275,78.44,85,100,6.44,light rain
687,Nuuk,GL,64.1835,-51.7216,43.41,81,19,6.91,few clouds
688,Tiarei,PF,-17.5333,-149.3333,80.62,74,24,13.78,light rain
689,Moerai,PF,-22.4333,-151.3333,73.38,78,9,4.59,clear sky
690,Chunhuhub,MX,19.55,-88.6833,73.2,98,63,1.23,broken clouds
691,Broken Hill,AU,-31.95,141.4333,58.44,50,37,21.88,scattered clouds
692,Tazovskiy,RU,67.4667,78.7,53.51,67,100,11.05,light rain
693,Bokoro,TD,12.3807,17.0568,74.05,94,100,12.33,heavy intensity rain
694,Maple Creek,CA,49.9168,-109.4848,82.45,30,3,6.91,clear sky
695,Haapiti,PF,-17.5667,-149.8667,80.33,76,7,13.38,light rain
696,Tanabe,JP,33.7333,135.3667,87.01,79,75,6.91,broken clouds
697,Ornes,NO,66.8689,13.7078,50.41,87,100,13.58,overcast clouds
698,Chengde,CN,40.9725,117.9361,85.05,57,85,3.71,overcast clouds
699,Naron,ES,43.5167,-8.1528,66.04,96,26,2.06,scattered clouds
700,Kota Bahru,MY,6.1333,102.2386,82.35,88,20,3.44,moderate rain
701,Sorong,ID,-0.8833,131.25,82.33,78,12,9.51,few clouds
