,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Syracuse,IT,37.0881,15.2792,72.99,67,2,2.91,clear sky
79,El Alto,PE,-4.2714,-81.2147,60.78,88,100,16.06,overcast clouds
80,Barrow,US,71.2906,-156.7887,48.22,87,100,19.57,mist
81,Hobart,AU,-42.8794,147.3294,59.05,68,40,1.14,scattered clouds
82,Chongwe,ZM,-15.3292,28.682,53.94,53,3,3.49,clear sky
83,Doha,QA,25.2867,51.5333,94.98,60,17,3.44,haze
84,Hofn,IS,64.2539,-15.2082,50.38,86,85,5.84,overcast clouds
85,Lebu,CL,-37.6167,-73.65,50.18,92,100,9.75,light rain
86,Marawi,PH,7.9986,124.2928,84.04,56,30,1.9,scattered clouds
87,Beringovskiy,RU,63.05,179.3167,54.9,81,100,11.74,overcast clouds
88,Saint John,CA,45.2727,-66.0677,61.83,100,100,2.3,fog
89,Shingu,JP,33.7333,135.9833,82.42,86,99,6.04,overcast clouds
90,Mortara,IT,45.2473,8.7355,74.71,65,98,3.24,overcast clouds
91,Mayo,US,38.8876,-76.5119,80.98,80,0,4.61,clear sky
92,Pangkalanbuun,ID,-2.6833,111.6167,93.49,49,25,3.67,scattered clouds
93,Zhelyabovka,UA,45.3988,34.7578,71.04,72,38,5.59,scattered clouds
94,Pisco,PE,-13.7,-76.2167,57.25,88,20,0.0,few clouds
95,Provideniya,RU,64.3833,-173.3,51.37,93,100,13.42,mist
96,Bethel,US,41.3712,-73.414,77.36,64,49,5.97,scattered clouds
97,Saldanha,ZA,-33.0117,17.9442,51.85,84,100,7.18,light rain
98,Isangel,VU,-19.55,169.2667,77.11,57,75,9.22,broken clouds
99,Pacific Grove,US,36.6177,-121.9166,68.54,84,0,8.05,clear sky
100,Shirokiy,RU,49.758,129.523,68.2,71,80,8.77,broken clouds
101,Arraial Do Cabo,BR,-22.9661,-42.0278,67.14,76,15,13.38,few clouds
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.17,82,16,12.28,few clouds
103,Nanortalik,GL,60.1432,-45.2371,43.36,91,32,6.22,scattered clouds
104,Kapaa,US,22.0752,-159.319,84.18,75,40,17.27,scattered clouds
105,Sebring,US,27.4956,-81.4409,76.89,90,0,5.75,clear sky
106,Le Port,RE,-20.9373,55.2919,68.25,73,12,8.95,few clouds
107,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.14,45,81,1.23,broken clouds
108,Kirakira,SB,-10.4544,161.9205,81.61,80,98,8.32,moderate rain
109,Vestmannaeyjar,IS,63.4427,-20.2734,51.98,91,100,19.24,overcast clouds
