City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
125,Bandarbeyla,SO,9.4942,50.8122,79.79,63,73,27.27,broken clouds,JABIR HOTEL
126,Touros,BR,-5.1989,-35.4608,74.03,85,28,9.33,scattered clouds,INN NEW HORIZON
127,Bichura,RU,50.5881,107.6022,73.58,43,11,8.88,few clouds,Gostinitsa Uyut
128,Octeville,FR,49.6261,-1.6435,64.89,88,0,5.75,clear sky,Hôtel Le Louvre Cherbourg
129,Fairbanks,US,64.8378,-147.7164,73.36,42,0,0.0,clear sky,Westmark Fairbanks Hotel & Conference Center
131,Esna,EG,25.2934,32.554,86.02,24,56,11.16,broken clouds,Orient Star Dahabyia Isna 05 Nights Each Sunday
132,College,US,64.8569,-147.8028,73.35,43,75,0.0,broken clouds,Pike's Waterfront Lodge
135,Alice Springs,AU,-23.7,133.8833,60.35,27,0,11.5,clear sky,Desert Palms Alice Springs
136,Canchungo,GW,12.0672,-16.0333,76.86,89,99,7.61,light rain,Aparthotel Napalach
138,Argelia,CO,2.2556,-77.2488,63.79,96,71,0.89,light rain,Hotel San Fernando Argelia
139,Barauna,BR,-5.08,-37.6167,71.13,84,29,6.33,scattered clouds,Pousada Rancho do Sabiá
140,Kununurra,AU,-15.7667,128.7333,84.18,26,1,11.5,clear sky,Hotel Kununurra
141,Hervey Bay,AU,-25.2986,152.8535,66.79,73,100,9.46,overcast clouds,Shelly Bay Resort
142,Arkhangelsk,RU,64.5401,40.5433,60.91,77,20,8.95,few clouds,DVINA HOTEL
144,Novobirilyussy,RU,56.9514,90.6661,66.69,47,68,5.97,broken clouds,Gostinitsa
145,Avarua,CK,-21.2078,-159.775,77.05,78,75,12.66,broken clouds,Paradise Inn
146,Caravelas,BR,-17.7125,-39.2481,72.46,71,34,10.18,scattered clouds,Pousada dos Navegantes
147,Sandpoint,US,48.2766,-116.5533,70.68,85,75,0.0,broken clouds,Hotel Ruby Sandpoint/Ponderay
149,Srandakan,ID,-7.9386,110.2506,84.25,71,59,8.84,broken clouds,Puri Brata
150,Bulgan,MN,48.8125,103.5347,68.79,62,9,4.52,clear sky,Unitel Булган салбар
151,Wukari,NG,7.85,9.7833,70.48,97,100,5.03,overcast clouds,Elimtop
153,Bontang,ID,0.1333,117.5,84.2,72,90,6.62,overcast clouds,KOPKAR Hotel Bintang Sintuk
155,Milkovo,RU,54.7167,158.6167,77.36,46,10,0.72,clear sky,"Hotel ""Geologist"""
156,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,12.66,few clouds,Atlantis Hotel
158,Mahon,ES,39.8885,4.2658,73.96,83,0,4.61,clear sky,ARTIEM Capri
159,Mount Isa,AU,-20.7333,139.5,74.97,25,44,8.05,scattered clouds,ibis Styles Mt Isa Verona
160,Saint George,US,37.1041,-113.5841,84.79,64,0,6.91,clear sky,Best Western Plus Abbey Inn
161,Kloulklubed,PW,7.0419,134.2556,79.3,68,92,4.21,overcast clouds,Storyboard Beach Resort
162,Ikwiriri,TZ,-7.9562,38.9716,67.82,91,46,1.48,scattered clouds,Greenland lodge
163,Vao,NC,-22.6667,167.4833,68.77,59,12,20.13,few clouds,Hotel Kou-Bugny
166,Aklavik,CA,68.2191,-135.0107,60.98,58,47,7.54,scattered clouds,Aklavik Inn
168,Saint-Philippe,RE,-21.3585,55.7679,63.99,82,75,17.27,light rain,Le four à pain
169,Bali,ID,-8.5,115.0,83.37,66,56,9.04,broken clouds,Pondok Pitaya
170,Takoradi,GH,4.8845,-1.7554,73.6,85,94,6.96,overcast clouds,Raybow International Hotel
